"Community safety and social inclusion > Welsh Index of Multiple Deprivation > WIMD indicator data by age > Indicator data by Lower Super Output Area - Income Deprivation"
""

Filters:
Indicator: Income deprivation (percentage of population)
Year: 2017

"","All Ages ","","","","","","","","","","","","","","","All Ages "
"","0 - 15 ","0 - 18 ","16 - 64 ",65+ ,"0 - 4 ","5 - 9 ","10 - 15 ","16 - 18 ","19 - 24 ","25 - 34 ","35 - 44 ","45 - 54 ","55 - 64 ","65 - 74 ",75+ ,"."
"Wales ",25,24,13,18,27,24,23,21,12,14,13,12,11,14,22,16
"Isle of Anglesey 001A ",31,28,19,26,34,30,30,18,21,19,22,17,17,23,30,23
"Isle of Anglesey 001B ",25,23,10,10,29,28,21,9,14,13,16,9,6,6,15,12
"Isle of Anglesey 001C ",24,22,12,19,31,20,21,13,18,15,9,8,14,15,25,16
"Isle of Anglesey 001D ",22,22,12,21,24,23,21,22,15,11,9,10,12,18,25,16
"Isle of Anglesey 001E ",22,24,13,15,22,30,16,33,13,18,13,11,9,13,17,15
"Isle of Anglesey 003A ",58,52,27,34,69,53,50,28,28,27,35,23,22,36,31,34
"Isle of Anglesey 003B ",50,47,20,22,59,42,50,27,28,26,19,17,12,24,19,26
"Isle of Anglesey 003C ",32,33,23,26,41,31,25,44,40,20,19,23,20,18,36,26
"Isle of Anglesey 003D ",34,34,25,30,42,29,31,39,41,19,25,23,23,31,28,28
"Isle of Anglesey 003E ",41,39,27,32,49,40,34,33,38,21,26,23,27,29,36,30
"Isle of Anglesey 003F ",41,42,26,33,39,44,42,46,29,26,21,22,27,31,35,30
"Isle of Anglesey 003G ",25,25,14,17,24,20,29,24,21,14,11,12,15,13,22,17
"Isle of Anglesey 004A ",20,20,11,15,30,9,23,21,14,12,10,12,6,12,19,13
"Isle of Anglesey 004B ",20,19,11,16,23,16,21,19,17,15,8,8,11,11,22,14
"Isle of Anglesey 004C ",14,14,6,10,23,18,7,14,3,12,6,4,5,6,15,8
"Isle of Anglesey 004D ",14,16,8,9,21,17,9,21,8,1,14,9,5,8,10,9
"Isle of Anglesey 004E ",30,29,16,20,31,29,31,24,17,19,13,19,11,15,26,20
"Isle of Anglesey 004F ",10,10,5,6,10,10,10,12,11,5,2,7,4,3,9,6
"Isle of Anglesey 007A ",18,21,14,15,18,19,16,35,19,15,11,13,10,8,22,15
"Isle of Anglesey 007B ",13,14,10,19,18,12,8,21,15,10,6,9,10,15,24,13
"Isle of Anglesey 007C ",22,21,12,20,24,18,25,13,16,9,16,13,10,16,26,16
"Isle of Anglesey 007D ",21,20,11,25,25,17,21,16,13,11,10,12,8,20,31,15
"Isle of Anglesey 007E ",18,19,10,17,13,18,24,32,9,9,8,10,14,21,11,13
"Isle of Anglesey 002A ",12,11,7,12,19,6,12,7,6,10,8,6,5,9,15,9
"Isle of Anglesey 002B ",11,10,5,9,11,16,8,3,9,5,7,4,5,6,14,7
"Isle of Anglesey 002C ",16,16,10,15,11,20,18,20,10,7,11,9,10,11,22,12
"Isle of Anglesey 002D ",35,35,12,11,58,27,32,34,16,15,13,11,6,6,18,15
"Isle of Anglesey 005A ",30,28,10,14,24,30,35,17,13,11,11,10,8,12,17,14
"Isle of Anglesey 005B ",6,6,4,7,10,0,7,8,5,5,2,6,2,4,12,5
"Isle of Anglesey 005C ",18,15,9,10,22,13,20,7,7,17,14,7,5,6,13,10
"Isle of Anglesey 005D ",16,14,10,16,21,19,10,4,10,17,10,12,5,11,22,13
"Isle of Anglesey 005E ",13,13,9,19,7,13,19,15,11,5,10,10,7,16,23,12
"Isle of Anglesey 006A ",14,14,8,14,14,13,16,12,8,7,11,6,7,10,21,10
"Isle of Anglesey 006B ",16,15,7,13,25,18,9,8,14,13,3,8,4,12,14,10
"Isle of Anglesey 006C ",15,16,12,19,19,13,12,25,11,9,12,13,9,17,22,14
"Isle of Anglesey 006D ",49,46,25,28,55,44,46,31,31,29,24,23,19,19,39,32
"Isle of Anglesey 008A ",6,6,4,13,6,8,5,3,9,3,3,6,4,9,17,7
"Isle of Anglesey 008B ",12,12,8,11,20,14,6,10,4,5,11,6,12,12,11,9
"Isle of Anglesey 008C ",5,6,5,12,7,4,5,8,7,4,7,5,4,6,18,7
"Isle of Anglesey 008D ",13,13,9,15,10,10,18,13,13,7,7,14,7,11,20,11
"Isle of Anglesey 009A ",13,14,9,16,20,14,8,14,12,19,6,6,8,11,22,11
"Isle of Anglesey 009B ",15,15,7,17,22,12,12,14,16,7,5,6,6,12,23,11
"Isle of Anglesey 009C ",17,17,10,18,16,17,17,15,7,11,11,10,9,12,25,13
"Isle of Anglesey 009D ",27,26,12,17,25,29,28,21,17,9,13,12,10,13,24,16
"Gwynedd 001A ",15,14,6,54,17,11,19,11,2,8,9,23,34,41,77,9
"Gwynedd 001B ",17,16,7,13,19,13,20,9,2,10,13,13,13,11,16,9
"Gwynedd 001C ",23,23,8,32,22,28,22,20,3,9,12,17,23,28,36,13
"Gwynedd 001D ",39,37,26,32,49,33,34,25,24,25,26,30,22,28,37,29
"Gwynedd 001E ",5,3,2,15,7,6,2,1,0,4,9,19,8,13,17,2
"Gwynedd 002A ",18,19,12,17,23,16,17,24,10,12,11,14,10,15,18,14
"Gwynedd 002B ",14,15,10,12,12,15,16,21,4,8,10,15,9,10,14,11
"Gwynedd 002C ",27,28,12,31,32,40,15,34,5,12,12,11,20,36,26,17
"Gwynedd 002D ",43,41,23,43,55,44,35,28,26,28,14,20,27,37,52,31
"Gwynedd 002E ",3,4,4,14,4,3,3,8,8,2,6,3,3,15,14,7
"Gwynedd 003A ",19,18,12,13,16,18,22,14,18,17,15,10,7,11,15,14
"Gwynedd 003B ",23,24,13,22,21,21,26,32,22,10,11,7,17,20,26,16
"Gwynedd 003C ",26,24,13,26,35,22,21,15,14,15,13,11,14,22,29,18
"Gwynedd 003D ",22,21,17,19,22,16,27,19,23,14,16,16,17,19,19,18
"Gwynedd 003E ",14,15,10,11,13,15,14,18,15,10,10,9,6,8,16,11
"Gwynedd 005A ",23,22,15,21,23,24,22,18,15,16,12,14,15,13,36,17
"Gwynedd 005B ",15,15,8,28,12,16,18,10,6,8,7,6,11,17,39,13
"Gwynedd 005C ",15,15,8,18,16,16,12,18,8,9,9,8,4,10,33,11
"Gwynedd 005D ",19,19,9,18,16,22,20,18,6,11,8,8,9,15,22,13
"Gwynedd 004A ",5,9,6,8,8,2,6,23,8,5,5,5,3,5,11,6
"Gwynedd 004B ",6,6,4,17,11,2,6,6,6,5,2,3,3,15,19,6
"Gwynedd 004C ",13,12,6,18,15,13,11,5,11,7,7,3,4,13,24,10
"Gwynedd 004D ",8,8,6,14,5,8,13,9,9,5,7,6,4,10,18,8
"Gwynedd 006A ",38,37,21,31,52,36,31,30,25,20,19,20,20,26,36,26
