"Community safety and social inclusion > Welsh Index of Multiple Deprivation > WIMD indicator data by age > Indicator Data by Lower Layer Super Output Areas - Households With No Central Heating"
""

Filters:
Indicator: Population living in households with no central heating (percentage)

"","","All Ages ","0- 15 ","0 - 18 ","16 - 64 ",65+ ," 0 - 4 ","5 - 9 ","10 - 15 ","16 - 18 ","19 - 24 ","25 - 29 ","30 -34 ","35 - 39 ","40 - 44 ","45 - 49 ","50 - 54 ","55 - 59 ","60 - 64 ","65 - 69 ","70 - 74 ","75 - 79 ","80 - 84 ",85+ 
"Wales ","W92000004 ",1.7990609668,1.0045229641,1.05780185,1.8387864292,2.4722186389,0.9967840245,0.9306348807,1.0671870332,1.32059217946555,1.6842535856,1.7441131411,1.5480269001,1.4437238954,1.5839269131,1.8802897376,2.1479440039,2.3491141759,2.4424469609,2.1612050355,2.3343673249,2.4687048968,2.7372383717,3.2645367716
"Isle of Anglesey 001A ","W01000003 ",5.6497175141,2.7334851936,2.5735294118,6.0295060936,7.0833333333,3.8461538462,0.9009009009,2.9069767442,1.9047619047619,9.2896174863,2.1428571429,4.6666666667,2.8571428571,7.3033707865,9.3567251462,8.2352941176,4.1095890411,6.8181818182,3.6231884058,6.1538461538,7.5471698113,13.725490196,10.909090909
"Isle of Anglesey 001B ","W01000004 ",3.3541341654,0,0,3.9270687237,4.1666666667,0,0,0,0,1.3888888889,6.1224489796,5.4545454545,2.4390243902,0,2.5641025641,4.5977011494,11.764705882,3.4782608696,4.5454545455,1.0638297872,8.4745762712,4.2553191489,3.5714285714
"Isle of Anglesey 001C ","W01000018 ",6.1901252763,7.7981651376,6.7924528302,6.4885496183,4.5325779037,4.5454545455,16.129032258,4.4444444444,2.12765957446809,7.3170731707,11.111111111,9.2307692308,6.6666666667,7.8947368421,7.4468085106,6.4935064935,3,5.1724137931,5.4054054054,2.2471910112,6.8965517241,2.1276595745,6.25
"Isle of Anglesey 001D ","W01000028 ",6.298399587,3.9436619718,3.9170506912,5.9822150364,9.8550724638,2.1428571429,1.1904761905,7.6335877863,3.79746835443038,4,3.4782608696,3.0303030303,6.4814814815,5.1094890511,11.475409836,3.7267080745,10.4,7.8014184397,5.8394160584,9.0909090909,20,8.6956521739,13.333333333
"Isle of Anglesey 001E ","W01000031 ",9.7861309138,7.8125,8.389261745,10.269709544,9.907120743,5.1948051948,10,8.0808080808,11.9047619047619,11.224489796,16.666666667,9.2592592593,12.345679012,5.4263565891,13.913043478,10.769230769,7.8260869565,8.904109589,4.0983606557,14.285714286,17.1875,7.1428571429,9.375
"Isle of Anglesey 003A ","W01000016 ",6.8162926018,3.3613445378,4.6428571429,7.881773399,6.5359477124,2.1276595745,3.2786885246,4.8192771084,11.9047619047619,4.4117647059,2.7777777778,4.8780487805,6.3829787234,5.7471264368,11.111111111,11.290322581,11.111111111,14.666666667,5.3571428571,2.1276595745,10.344827586,7.6923076923,25
"Isle of Anglesey 003B ","W01000017 ",3.4098360656,1.9867549669,1.5915119363,3.0938123752,6.7873303167,1.9417475728,1.1111111111,2.752293578,0,3.4188034188,2.3529411765,1.1494252874,3.0612244898,2.6086956522,1.6393442623,4.9019607843,5.1020408163,5.8252427184,5.9701492537,7.4074074074,5.1282051282,8.8235294118,7.4074074074
"Isle of Anglesey 003C ","W01000029 ",4.4206296048,1.9867549669,1.6806722689,4.861878453,5.5944055944,0,3.0612244898,3.3707865169,0,3.0612244898,1.9230769231,5.3191489362,6,3.5714285714,4.7058823529,6.7961165049,9.8901098901,5.4945054945,2.3529411765,8.8235294118,8.3333333333,5.3571428571,3.4482758621
"Isle of Anglesey 003D ","W01000030 ",3.1443755536,1.012145749,0.8710801394,3.5966149506,4.3352601156,0,1.3333333333,1.7964071856,0,2.4691358025,1.0471204188,4.4585987261,3.0534351145,3.3783783784,3.0303030303,4.7619047619,5.3691275168,7.7464788732,6.7226890756,4.3956043956,3.1746031746,2.5641025641,0
"Isle of Anglesey 003E ","W01000033 ",3.5570469799,2.4054982818,2.2099447514,3.7393162393,4.1825095057,1.0526315789,2.5641025641,3.3898305085,1.40845070422535,5.8252427184,6.1728395062,2.4096385542,0,2.1276595745,5.1020408163,4.4642857143,3.5714285714,4.8,5.0632911392,0,7.1428571429,5.4545454545,3.125
