"Community safety and social inclusion > Welsh Index of Multiple Deprivation > WIMD indicator data by age > Indicator data by Lower Layer Super Output Areas - Overcrowded Households"
""

Filters:
Indicator: People living in overcrowded households (bedrooms measure) (percentage)

"","","All Ages ","0- 15 ","0 - 18 ","16 - 64 ",65+ ," 0 - 4 ","5 - 9 ","10 - 15 ","16 - 18 ","19 - 24 ","25 - 29 ","30 -34 ","35 - 39 ","40 - 44 ","45 - 49 ","50 - 54 ","55 - 59 ","60 - 64 ","65 - 69 ","70 - 74 ","75 - 79 ","80 - 84 ",85+ 
"Wales ","W92000004 ",5.5253053452,9.224001959,9.215271509,5.6928208977,1.1490334113,9.7197667436,8.4720288086,9.3838698835,9.17220983827852,11.995558746,8.1213846045,5.9902412015,5.018135854,4.9200729738,4.6037505634,3.7835709694,2.3211549318,1.4601691755,1.1279016179,1.0552722302,1.0480439971,1.1850320118,1.528519158
"Isle of Anglesey 001A ","W01000003 ",6.5778853914,9.5671981777,10.477941176,7.5048107761,0.8333333333,8.9743589744,7.2072072072,11.627906977,14.2857142857143,14.754098361,12.142857143,4.6666666667,5.7142857143,5.6179775281,7.0175438596,7.6470588235,1.3698630137,3.4090909091,0.7246376812,2.3076923077,0,0,0
"Isle of Anglesey 001B ","W01000004 ",3.3541341654,6.2200956938,6.1538461538,4.0673211781,0.2777777778,4.5454545455,8.064516129,6.1728395062,5.88235294117647,12.5,4.0816326531,1.8181818182,4.8780487805,8.75,5.1282051282,0,1.1764705882,0,0.7575757576,0,0,0,0
"Isle of Anglesey 001C ","W01000018 ",2.6529108327,5.9633027523,6.0377358491,2.9262086514,0,4.5454545455,9.6774193548,4.4444444444,6.38297872340426,7.3170731707,1.8518518519,3.0769230769,4,3.9473684211,3.1914893617,0,2,0,0,0,0,0,0
"Isle of Anglesey 001D ","W01000028 ",5.5756324213,10.14084507,10.138248848,5.7396928052,0.2898550725,7.8571428571,13.095238095,10.687022901,10.126582278481,8.6666666667,11.304347826,4.0404040404,6.4814814815,2.9197080292,4.9180327869,6.8322981366,3.2,0.7092198582,0,0,1.8181818182,0,0
"Isle of Anglesey 001E ","W01000031 ",4.0181464679,2.734375,3.355704698,5.3941908714,0.9287925697,2.5974025974,3.75,2.0202020202,7.14285714285714,15.306122449,12.962962963,3.7037037037,7.4074074074,1.5503875969,6.9565217391,6.1538461538,0.8695652174,0,0.8196721311,0,3.125,0,0
"Isle of Anglesey 003A ","W01000016 ",5.4031587697,5.8823529412,7.1428571429,5.9113300493,1.9607843137,7.4468085106,1.6393442623,7.2289156627,14.2857142857143,11.029411765,5.5555555556,2.4390243902,4.2553191489,4.5977011494,6.6666666667,1.6129032258,8.3333333333,0,0,6.3829787234,0,0,0
"Isle of Anglesey 003B ","W01000017 ",4.9180327869,9.6026490066,8.7533156499,4.3912175649,0.9049773756,10.67961165,8.8888888889,9.1743119266,5.33333333333333,11.111111111,9.4117647059,4.5977011494,2.0408163265,2.6086956522,4.0983606557,1.9607843137,1.0204081633,1.9417475728,1.4925373134,0,0,0,3.7037037037
"Isle of Anglesey 003C ","W01000029 ",4.4206296048,8.940397351,9.8039215686,4.1988950276,0.3496503497,8.6956521739,8.1632653061,10.112359551,14.5454545454545,6.1224489796,3.8461538462,6.3829787234,4,4.7619047619,3.5294117647,2.9126213592,0,0,1.1764705882,0,0,0,0
"Isle of Anglesey 003D ","W01000030 ",4.5172719221,7.2874493927,6.968641115,4.1607898449,2.0231213873,6.7796610169,6.6666666667,8.3832335329,5,4.9382716049,5.7591623037,5.7324840764,6.8702290076,4.0540540541,2.2727272727,1.5873015873,2.0134228188,2.8169014085,4.2016806723,0,0,5.1282051282,0
"Isle of Anglesey 003E ","W01000033 ",5.9060402685,6.8728522337,7.7348066298,7.264957265,0,12.631578947,2.5641025641,5.0847457627,11.2676056338028,15.533980583,11.111111111,8.4337349398,3.5294117647,2.1276595745,7.1428571429,8.0357142857,5.9523809524,1.6,0,0,0,0,0
"Isle of Anglesey 003F ","W01000036 ",3.8602941176,5.8252427184,5.9288537549,4.1786743516,0.5319148936,2.8169014085,7.3170731707,7.4468085106,6.38297872340426,9.0909090909,3.3333333333,0,4.5454545455,4.4943820225,4.347826087,2.8571428571,2.2727272727,1.6393442623,1.7857142857,0,0,0,0
"Isle of Anglesey 003G ","W01000037 ",1.5652173913,1.4778325123,1.2195121951,1.6759776536,1.2987012987,1.4925373134,0,2.5974025974,0,3.0769230769,0,4.6875,2.380952381,1.2658227848,2.0833333333,0,1.9230769231,1.0752688172,0,0,0,9.375,0
